,label,title,subtitle,content,author,source,publishing_date,likes_shares_reads,number_likes_shares_reads,source.1,false_claim,Snoopes category ,rationale,category,sentiment,irony,toxicity,hate_speech,readability,truthfulness cat,displayed truthfulness rating,salient features (highlights),sentiment analysis (4 cat/highlights),readability ,readability categories,natural language explanation
10,FAKE,All Homeopathic Products Now Illegal?,,"About 5 million U.S. adults and 1 million U.S. children use homeopathy every year, and the remedies are known to be “generally safe and unlikely to cause severe adverse reactions,” according to the U.S. National Institutes of Health’s National Center for Complementary and Integrative Health.1 Yet, if the U.S. Food and Drug Administration (FDA) continues on its latest crusade, this natural health modality may soon be much harder to come by. In a draft guidance document released in December 2017, the FDA takes aim at homeopathic remedies, or as they put it, “drug products labeled as homeopathic.” In a reversal of a long-standing decision to treat homeopathic remedies differently from other drugs, the FDA has now labeled virtually all of these products as “new drugs” that are “subject to FDA enforcement action at any time.” FDA Declares Homeopathic Drugs Illegal, Plans to Ramp Up Enforcement Actions. While deaths from drugs like opioids are now a public health crisis, homeopathy has maintained a much lower, and presumably safer, profile. Yet, the FDA is using its limited resources to target the latter, citing a need to “protect consumers who choose to use homeopathic products.” Why now? The FDA also cited a “large uptick in products labeled as homeopathic that are being marketed for a wide array of diseases and conditions,” to the extent that homeopathic products are now a close to $3 billion industry.",Joseph Mercola,Mercola.com,1/30/2018,,,https://www.snopes.com/fact-check/homeopathic-drugs-now-illegal/,False (completely) ,,,health,slightly negative,irony,not offensive,not hate,10.4,0-20%,3%,"About 5 million U.S. adults and 1 million U.S. children use <mark>homeopathy every year, and the remedies are known to be “generally safe and unlikely to cause severe adverse reactions,” </mark> according to the U.S. National Institutes of Health’s National Center for Complementary and Integrative Health. Yet, if the U.S. Food and Drug Administration (FDA) continues on its latest crusade, this natural health modality may soon be much harder to come by. In a draft guidance document released in December 2017, the FDA takes aim at homeopathic remedies, or as they put it, “drug products labeled as homeopathic.” In a reversal of a long-standing decision to treat homeopathic remedies differently from other drugs, the FDA has now labeled virtually all of these products as “new drugs” that are “subject to FDA enforcement action at any time.” <mark>FDA Declares Homeopathic Drugs Illegal</mark>, Plans to Ramp Up Enforcement Actions. While deaths from drugs like opioids are now a public health crisis, homeopathy has maintained a much lower, and presumably safer, profile. Yet, the FDA is using its limited resources to target the latter, citing a need to “protect consumers who choose to use homeopathic products.” Why now? The FDA also cited a “large uptick in products labeled as homeopathic that are being marketed for a wide array of diseases and conditions,” to the extent that homeopathic products are now a close to $3 billion industry.",slightly negative,10.4,medium,"The article claims that the FDA declares homeopathic drugs illegal. However, the source for this article is only a draft form proposing an updated interpretation of the agency’s handling of over the counter products branded as homeopathic, as all drugs need to meet scientific standards, homeapoathic drugs do not fulfill. "
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,TRUE,Immigration officials say Pelosi attacker was in US illegally,,"WashingtonCNN — David DePape, the man accused of violently attacking Paul Pelosi last week, was in the United States illegally and may face deportation, the Department of Homeland Security said late Wednesday. “U.S. Immigration and Customs Enforcement (ICE) lodged an immigration detainer on Canadian national David DePape with San Francisco County Jail, Nov. 1, following his Oct. 28 arrest,” the department said. According to federal records, DePape, a Canadian citizen, entered the country on March 8, 2008, at the San Ysidro port of entry, which is along the California-Mexico border, as a temporary visitor. Generally, Canadians who are visiting for business or pleasure don’t require a visa and are allowed to stay in the US for six months. He was charged with one count of “attempted kidnapping of a US official,” according to the US attorney’s office for the Northern District of California. That charge relates to Nancy Pelosi, whom DePape told police he planned to “hold hostage,” according to an FBI affidavit also unsealed on Monday.","Priscilla Alvarez,",cnn,11/3/2022,,,https://edition.cnn.com/2022/11/03/politics/david-depape-paul-pelosi-attack/index.html,,,,immigration,slightly negative,not irony,not offensive,not hate,13,,,,,,,
1,TRUE,"Constitution gives Congress, not Biden administration, power to regulate immigration",,"By expanding the narrow and obscure presidential authority to grant “humanitarian parole” — the legal term for temporary admission — and allowing foreigners to enter the United States improperly, the Biden administration is bypassing Congress’ traditional law-making power to regulate immigration. The intent of Congress was clearly to address individual emergency situations, such as when a foreign national requires special medical attention or is needed to appear in a legal hearing. The assumption was that there would be a handful of such extraordinary cases, and the “parolees” would return to their countries after the visit. However, turning this narrow authority on its head, the Biden administration has created new programs out of thin air that bestow immigration benefits on hundreds of thousands of migrants who fall outside of the congressional quotas set for visas and refugees. Homeland Security Secretary Alejandro Mayorkas recently announced: “Our program is based on a core principle of the Biden administration, which is when individuals are so desperate to leave the country that is their home … it is our responsibility to build safe, lawful and humane pathways that create opportunities for them so they do not need to avail themselves of the more desperate and dangerous measures that the perilous journey involves.”",Phillip Linderman,washington times,11/8/2022,,,https://www.washingtontimes.com/news/2022/nov/8/constitution-gives-congress-not-biden-administrati/,,,,immigration,slightly negative,irony,not offensive,not hate,22.3,,,,,,,
2,TRUE,Migrants entering UK illegally to be liable for removal at any time,"Priti Patel’s New Plan for Immigration risks punishing refugees with no choice about how they seek safety, experts warn","Migrants who arrive in the UK by small boats or other illegal routes will be indefinitely liable for removal even if they are granted asylum under punishing proposals to be announced by Priti Patel. Experts criticised the creation of a “two-tier” system that risked punishing people “forced to take extraordinary measures [without] a choice about how they seek safety”. If it is not possible to remove them, migrants making successful claims having entered illegally will receive a new temporary protection status rather than an automatic right to settle – and will be regularly reassessed for removal from the UK. It has also been reported that asylum seekers will be shipped overseas while their claims are processed, under the proposals, though this was not mentioned in a press statement issued ahead of Wednesday’s announcement.",Jamie Grierson Home affairs correspondent,the guardian,3/23/2021,,,https://www.theguardian.com/uk-news/2021/mar/23/migrants-entering-uk-illegally-to-be-liable-for-removal-at-any-time,True ,,,immigration,negative,not irony,not offensive,not hate,19.2,50-80%,78%,"<mark>Migrants who arrive in the UK by small boats or other illegal routes will be indefinitely liable for removal even if they are granted asylum under punishing proposals</mark> to be announced by Priti Patel. Experts criticised the creation of a <mark>“two-tier” system that risked punishing people “forced to take extraordinary measures [without] a choice about how they seek safety”</mark>. If it is not possible to remove them, <mark>migrants making successful claims having entered illegally will receive a new temporary protection status rather than an automatic right to settle</mark> – and will be regularly reassessed for removal from the UK. It has also been reported that <mark>asylum seekers will be shipped overseas while their claims are processed</mark>, under the proposals, though this was not mentioned in a press statement issued ahead of Wednesday’s announcement.",,19.2,hard,New plans for UK how to treat migrants. Migrants who arrive in the UK by small boats or other illegal routes will be indefinitely liable for removal even if they are granted asylum under punishing proposals.
3,TRUE,Biden open to breaking his immigration bill into pieces,Hill Democrats may be fine with that. Even immigration reform advocates say they’d understand.,"When President Joe Biden unveiled an immigration bill on the first day in office, he sent a signal to advocates, the Democratic base, and Congress that the issue was a top priority for him. But even as the president and Democrats on the Hill begin the heavy lift of turning a priority into law, the White House is weighing taking a secondary path: doing it piece by piece. Taken together, Biden’s legislative immigration plan and swift unilateral actions present a clear departure from the last time a Democrat was in the White House. At a minimum, Biden seems keen to avoid the missteps during former President Barack Obama’s first term, when Democrats controlled both chambers, but Obama didn’t pursue comprehensive immigration reform. Rather than wait until after the 2022 midterms or into a second term, Biden sent his plan to the Hill immediately. As sources close to the administration put it, Biden wanted to make his immigration priorities clear, even if the process of getting passed into law will be arduous.","LAURA BARRÓN-LÓPEZ, ANITA KUMAR and SABRINA RODRIGUEZ",politico,01/26/2021,,,https://www.politico.com/news/2021/01/26/biden-immigration-bill-462479,,,,immigration,slightly positive,not irony,not offensive,not hate,11.6,,,,,11.6,,
4,TRUE,Borders watchdog left ‘speechless’ by failings at migrant centre in Kent,"Chief inspector told MPs that Manston processing site was unsafe, understaffed and ‘wretched’","The borders watchdog said he was left speechless by “wretched conditions” during a visit to a migrant processing centre at Manston, which has already passed the point of being unsafe. Migrants are meant to be held at the short-term holding facility, which opened in January, for 24 hours while they undergo checks before being moved into immigration detention centres or asylum accommodation – currently hotels. The Home Office could be facing hundreds of unlawful detention claims because many people are being held unlawfully for longer than the five-day time limit. They confirmed that about 3,000 people are being held there on a site designed for 1,000 with a maximum of 1,600. This number is larger than any prison or immigration detention facility in the UK.",Diane Taylor,the guardian,10/26/2022,,,https://www.theguardian.com/uk-news/2022/oct/26/borders-watchdog-left-speechless-by-failings-at-migrants-centre-in-kent,True ,,,immigration,negative,not irony,not offensive,not hate,14.8,80-100%,89%,"The borders watchdog said he was <mark>left speechless by “wretched conditions” during a visit to a migrant processing centre</mark> at Manston, which has already passed the point of being unsafe. Migrants are meant to be held at the <mark>short-term holding facility</mark>, which opened in January, for 24 hours while they undergo checks before being moved into immigration detention centres or asylum accommodation – currently hotels. The Home Office could be facing hundreds of <mark>unlawful detention claims because many people are being held unlawfully for longer than the five-day time limit</mark>. They confirmed that about <mark>3,000 people are being held there on a site designed for 1,000 with a maximum of 1,600</mark>. This number is larger than any prison or immigration detention facility in the UK.",,14.8,hard,"Very poor conditions in migrants processing center as many people are being held unlawfully for longer than the five-day time limit. About 3,000 people are being held there on a site designed for 1,000 with a maximum of 1,600 people. "
5,fake,Kamala isn’t at the southern border — but migrant kids are getting Veep’s book,,"Vice President Kamala Harris hasn’t been to the border to address a crisis she was tasked to help fix — but a children’s book she wrote is waiting there for young migrants who are being welcomed into the country. Unaccompanied migrant kids brought from the U.S.-Mexico border to a new shelter in Long Beach, Calif., will be given a copy of her 2019 children’s book, “Superheroes are Everywhere,” in their welcome kits. It’s just the latest open-arms gesture by the Biden administration, whose mixed messaging regarding the border and immigration has been credited with the surge from Central America to the U.S.-Mexico border.",Laura Italiano,new york post,Apr. 26. 21,,,https://www.snopes.com/fact-check/migrant-kids-kamala-harris-book/,,,,immigration,slightly positive,irony,not offensive,not hate,11.1,,,,,11.1,,
6,fake,ICE Arrests LA Mayor For Harboring Fugitives Through Sanctuary City,,"We’ve all been wondering when this would happen and why wasn’t this done from the start. But we shouldn’t dwell. Justice is finally being done. Josiah Barron, the celebrated mayor of Los Angeles County, was led away from his office in handcuffs today by ICE agents and charged with harboring fugitives from the law with his decision to provide undocumented immigrants with refuge under his ‘Sanctuary City’ designation. The arrest followed Barron’s order to the city’s police to not cooperate with ICE by reporting illegal aliens in their custody. ICE demanded the criminals be handed over but they were denied. This has happened in other Sanctuary cities across the country with no such charges laid, but it would appear that Immigration officials have finally had enough of their federal authority being ignored and have decided to stop playing nice. Barron seemed to find his predicament to be amusing, as he smiled and shouted, “ATTICA! ATTICA!” while being led to a waiting vehicle. But he won’t be laughing for long. The charges against him carry a maximum penalty of 20 years in prison should he be convicted and legal experts say that a guilty verdict is quite likely given Barron’s very public statements – confessions, in other words – that let it be known that the city would not communicate with ICE by his own decree.",Rod Gozinya,taters gonna tate,Nov. 26.22,,,https://www.snopes.com/fact-check/ice-arrest-los-angeles-mayor/,,,,immigration,negative,irony,not offensive,not hate,10.4,,,,,10.4,,
7,fake,"The measles outbreak is a massive false flag; nearly all outbreaks are caused by infected migrants, not American children",,"“Think about how cold-blooded it is, that the bureaucrats and the UN and the globalists that control our government, opened our borders and told the entire Third World, filled with diseases, to pour into our nation,” reports Alex Jones in a bombshell new video called “The Measles Outbreak is a Giant False Flag and Hoax.” He continues: Then the CDC reports from local health departments across the country that it’s the illegal aliens, called “migrants,’ that are spreading the measles, the mumps, the rubella, the pertussis, and all these record-level diseases hitting Europe and the United States… and then we’re told that those of us who haven’t taken the hundreds of mandated vaccines are to blame. He’s right, of course. It’s the disease-ridden illegal aliens that are bringing infectious diseases into America, but the CDC and the obedient national media blame “anti-vaxxers” while pushing toxic, deadly vaccines on all Americans via new vaccine mandates that amount to nothing less than medical rape.",Mike Adams,natural news,"April 28, 2019",,,,,,,immigration,negative,irony,offensive,hate,18.6,,,,,18.6,,
