,ai-system-evaluation.other-information-wish,no_addition,requests_explanation
44,The exact source of who wrote the article and who published it.,0,0
239,How many other times the same topic of article has been posted.,0,0
346,The actual source and not just whether it is trustworthy or not.,0,0
421,"comparision between other articles about the same topic or news ",0,0
395,I would like to see the AI give more reasoning behind its rating,0,1
35,i think the information about the source is the most useful to me,0,0
235,The linked sources to these articles and their prior credibility.,0,0
247,Publish Date can help with determining if information is new/old.,0,0
402,"The details such  who were involved, and what outlet published it",0,0
197,I feel like the AI did a very good job assessing the truthfulness.,1,0
40,More information about the source of the article would be helpful.,0,0
391,Links for further reading regarding the true facts about the story,0,0
60,what was the exact source...like the name of the news media outlet,0,0
341,I think it did a good job at pointing out why it was fake or truth,1,0
396,What was taken into account for the Truthfulness assessment score.,0,0
400,The reliability of the source and how the information was obtained.,0,0
368,"Direct citation of sources included in ""Explainability Feature"" text",0,0
241,Who or where it was published from? What are the authors creditials?,0,0
28,"Original source of the article, then look at the articles citations.",0,0
347,other articles that may support the claim of the article in question,0,0
136,The publication or source that is deemed trustworthy or untrustworthy.,0,0
249,A link to info being used by the AI to check Explainability feature 2.,0,0
156,If there are other articles from different sources about the same story,0,0
130,"I googled and researched websites I would find credible with the facts. ",0,0
349,How it determines which websites are false information and which are not.,0,1
392,links to other sources correcting/clarifying misinformation in an article,0,0
362,Knowledge about the author's expertise and/or links to studies referenced.,0,0
38,"what the source is, not just the trustworthiness according to the AI system",0,0
114," A brief description of why the article is rated as it is would be helpful.",0,0
293,Maybe having two separate AI would be good to provide two different analysis,0,0
388,I would like to have the sources listed at the bottom of the page (passage).,0,0
350,I think the AI should provide the source upfront when giving its assessment.,0,0
195,"More information about the sources used in the article would be beneficial. ",0,0
127,The identity of the writer and the specific website the article was found on.,0,0
370,"Writers of the article, publication sources, and where the article was written",0,0
222,I would like to see less opinions and just facts on what the article is about.,0,0
384,"the link to the original article or the source from which the original article ",0,0
260,"The source of witch the information can be either proven to be right or wrong. ",0,0
149,How many trustworthy sources are publishing similar articles on specific events.,0,0
217,Scan for links to multiple sources of the same information to fact check against.,0,0
196,"Author of the article, maybe a search on people discussed in the article. Sources?",0,0
94,"The location of the article's reader could also be used to evaluate, in some cases. ",0,0
69,"A short detailed explanation explaining it's answer other than a trustworthy source. ",0,1
307,"Information/statistics on why the news source is ranked truthworthy vs untrustworthy ",0,0
14,"Commentary on it from other sources, or stories from other sources that corroborate it",0,0
321,"The citations to be able to fact check what is being said by the article and AI alike ",0,0
377,Other sources and their take on a particular subject. Providing direct quotes and links.,0,0
365,I would like if references made in the article and summary could be linked to the source,0,0
154,"The information of the source was included, but knowing the actual source would be better",0,0
424,"Many articles were opinion based.  It would be a good call out from the A1 to note this.  ",0,0
226,"Cross checking with other trusted sources. Verifications that people and events are real.  ",0,0
210,I would like to know who the source is and not just if they are trustworthy or untrustworthy,0,0
121,"The place the article was published would be helpful. (i.e.- Newspaper, Facebook, Blog, etc.)",0,0
335,"It would be nice to have a record of the sources being truthful or spreading misinformation. ",0,0
272,"Links to any sources for the article, classification if it is an opinion or fact-based article.",0,0
397,"I feel like it was good as it was, it just seemed like the fake percentage was wrong sometimes. ",1,0
184,"The name of the publication from where the article came from(consistently, not just once in a while).",0,0
109,I think it would be helpful to have information about which political affiliation the news comes from.,0,0
232,"Other articles on the same topic, cited sources, bias meter, statistic checker, and comprehension review",0,0
251,"The publisher of the source would be helpful, whether that is an author or a website the source came from",0,0
300,The publication or source of the news story would be helpful at the initial stage to assess truthfullness.,0,0
150,"When this AI finds an untrustworthy source, it should name the source and explain why it cannot be trusted.",0,1
238,I would have liked to been able to see the news sources alongside the trustworthiness of these news sources.,0,0
124,"A specific name for the source quoted as opposed to a superficial term of ""trustworthy and or untrustworthy.""",0,0
200,"Aside from the information show, possibly recommending other articles reporting related news to the original.",0,0
59,"Who wrote the article, where it was published and if there are multiple other trustworthy sources in agreement.",0,0
403,"if the content is from different unrelated sources I would personaly prefer if it shows like plajarizm detectors ",0,0
381,"Sources of the statistics in articles made more clear, maybe more transparency of the entity behind studies cited",0,0
63,"Media Bias, whether its a primary or secondary source, and if it is a secondary source what is it's primary source",0,0
229,Ai needs provide more sources of information and news found. backing up the facts to form a more believable story!,0,0
240,The news source the article is from. I typically can get a better gauge of its validity and truthfulness from that.,0,0
225,More information about how it identifies if the original source information is trustworthy or not may prove helpful.,0,1
191,Possibly more information about the author of the article to see if they have previously posted accurate information.,0,0
76,"More information about the source, date of creation of website/newspaper, author, author history previous articles written",0,0
215,"How the facts are being cherry picked.  Simply saying facts in the article are correct does not guarantee complete context ",0,0
338,Search engine results of the article title so I can view all the sources that the AI is using to draw its information from.,0,0
294,"Links to reliable/reputable sources about the topic, such as BBC News or NPR or the academic article the article references. ",0,0
387,"All available  details, from sources to possible narratives being pushed and the reasons why a certain narrative may be favored.",0,0
351,"To better assess the truthfulness of an article, it is helpful to gather additional information from reliable and diverse sources",0,0
199,"I felt as if the AI used the same formula for every article and if the controversy was popular then he automatically went for it. ",0,0
211,"The actual name or identity of a source rather than it just being indicated whether or not it's a trusted or untrustworthy source ",0,0
190,"I particularly liked the info about the source, but I found that the text passages the AI selected were not always relevant to rating",0,0
367,"If there are other sources online that have also analyzed the article against real or fake news, and if so, what were their findings? ",0,0
230,The actual source it came from so I can run that source through a media bias chart to get a better idea of its neutrality and reliability.,0,0
337,"Knowing the date published and writer of the article, as well as the sources used, would help me better assess the truthfulness of an article.",0,0
31,"I don't think it is possible but I would like to see a highlighted area within the article that provided the AI with the push one way or the other. ",0,1
348,"There are a lot of different aspect of the articles it seemed the AI didn't even address, which were actually why I gave the truthfulness scores I did. ",0,0
50,"The place in which it was published, like what magazine or what newspaper or what website it was published on, not the source, but the actual publication.",0,0
62,"No additional information is needed in my opinion I was able to find my information elsewhere when needed to confirm the ""AI's"" assumption on the article ",1,0
46,"One article didn't have any information on the headline claim, such as ""X organization's policy is"", but then the written material was an ideological opinion.",0,0
203,Links to similar news articles so I could either gather more information or do my own research to decide whether or not I believe the news to be fake or true.,0,0
117,Providing multiple sources for the article would further verify the integrity of the article. Some sort of fact-checking information would also be a good addition.,0,0
237,"Author name and credentials. Also, an article can have heavy emotional wording but still be 100% true. From what I’ve seen, the AI doesn’t take that into consideration. ",0,0
394,"Actual facts that did happen, without it assuming the things that happened either happened or not because of something else without actually have concrete information about it.",0,0
104,Allow the AI System to identify the references mentioned and where they can be found to verify the credibility or non-credibility rating that it was used to determine the rating.,0,0
97,"What is the algorithm? What information does it find truthful? Dates, peoples names? Could it tell me if this is an opinion or editorial article? Is it from a random blog or a newspaper?",0,1
371,"I would like more on the truth or falsity of the articles' factual assertions. Several of the articles made factual assertions that were plainly false. The AI sometimes did not catch these. ",0,0
355,"It would be great if information was provided regarding the factors used in the truthfulness assessment, because I feel like it did not match with the natural language explanation all the time.  ",0,1
329,I would like to see more information for both sides of true and false. A lot of the AI explanations had either why the article was true or false and did not explain both the true and the false sides to the articles.,0,0
4,Who the source actually is and why they have been classified the way they have been.  I don't believe the reliability of the source because that can also be programmed into the AI based on the parameters set by the coders,0,0
358,"To evaluate the veracity of an article, other relevant information includes the source of the article, the date of publication, the presence of reliable references and citations, the author´s reputation and consistency with other trustwortly sources.",0,0
185,"More information on how AI arrives at its conclusion about the quality of the source. It states whether the source is good or bad, but doesn't tell us why, exactly. Is it a tabloid? An opinion blog? News commentary? Some of that info might be helpful. ",0,0
158,"I think assessing whether information is true rather than whether it could be true is the most important classification. I'd rather that the AI actually search the web to find if the information was true rather than rate it based on how ""emotional"" it was.",0,0
378,Callout for citations or lack thereof; distance from a primary source.  Some articles need additional fact checking or supporting figures.  Automated perusal of references an citation would be helpful if possible.  Links to reviews or responses would be useful.,0,0
261,"There are social psychologists who have compiled data about techniques of ""social influence"" and ""persuasion"". It would be extremely helpful to have the ai identify those techniques and to point them out. (loaded language is one of them, which this ai is already using).",0,0
8,"One of the most important things in determining the truth of an article is looking at the emotional words being used. I think that the AI should track the emotional words that are not used within quotes, to further determine if the article is a thought piece, or a legitimate news article. ",0,1
159,"I might prefer a line by line/claim by claim assessment and rating rather than selecting limited text to base an overall truthfulness rating on. I felt like the text that was evaluated in some of the samples was not refelcting the most salient points and claims in the article that I might have chosen to ""fact check"" instead of what the AI chose.",0,0
163,,0,0
181,,0,0
267,,0,0
328,,0,0
