,ai-system-evaluation.other-information-wish
139,Author/ qualifications of author
364,I cannot think of anything else.
30,Where to find this news article 
89,No other information is needed. 
82,more in depth source information
187,Where the article was published 
325,more information about the source
342,Where the source is actually from
216,more about the emotional content 
188,Where they got their sources from
137,More witness encounter statements
13,Citations of the article sources.
305,Link to the actual article maybe.
110,"titles, key dates, publishing date"
198,check multiple sources to compare 
366,Formal criteria followed by the AI
268,reason for classification of source
74,What the source was for the article
73,Sources cited and links to sources 
48,The content and the actual validity
36,coherence with other online sources
258,The name of the source it camr from 
106,"Grammar checks, peer reviewed or not"
306,More information about the sources. 
90,"Source of information, when possible."
66,easier explanations with source links
301,Several sources from differing sides.
276,using all the explainability features
360,the author of the article and company
207,Where there resources are coming from
359,Put bias aside and only report facts.
143,check if names in articles make sense
413,estimated political bias of the source
169,Platform news article was published on
174,Data comparison to other news stories 
79,Who wrote/published the actual article.
278,Where the articles are being published.
205,Any sources used to compile the article
105,The information provided was sufficient
152,"Website or publisher name, google query"
407,Links to references made by the article.
262,The Source of the news they are gettting
380,confirmation from 2nd trustworthy source
425,a link to verify what AL has researched.
29,If the author is an expert on the topic 
323,Information about where it was published
297,Source and a brief summary of the source
227,The publisher or financer of the article
333,if countering the claims source the info
223,Name of the source should be identified.
81,"The name of the source, company or author"
144,Links to sources mentioned in the article
178,It was able to detect even when i couldnt
51,The authors and fact checker AI's sources.
111,link to article and Author of  the article
334,The name of the publication or newspaper. 
134,info on  how the ai-system makes decisions
162,The direct sources they were  pulled from.
246,information on any sponsors of the article
295,Raiting an article based on political bias
180,Source Information and author credentials 
128,news articles that backup the news provided
183,key words that are extreme and sound biased
19,The website address that it was published on
224,Information regarding legitimacy of sources 
193,"Publication method, like online or newspaper"
245,Alternative sentiment from outside sources. 
383,Sources that can corroborate AI information 
357,"The type of source i.e. newspaper, blog, etc."
375,If the same story has been posted elsewhere. 
131,Author(s) name; source name; article comments
408,Ability to query the AI for more information. 
151,How it knows if it's a trusted source or not. 
299,Different sources of cross checked information
404,how the story was reported by other new outlets
275,Link to article to show where it was published 
55,Where the article was obtained would be helpful
308,"references, like publication ,date, author, etc"
264,more information about the source of the article
257,Where the AI is getting its info from directly. 
236,The name of the source and the name of the author
256,Not sure what would help more than what you have.
126,I would like to see and read more into the story 
244,"highlight calls to action, statistics, and sources"
77,Corroborating stories from other reputable sources
160,links to other news sites covering the same event.
330,A little background history of certain characters. 
101,Additional information used by ai in its judgement 
356,"Showing a link to the article, or even the website."
161,I would like to know the source of the information.
23,Fact checking from credible sources via annotation. 
399,who the author is and what website the article is on
45,"source of the information, date when incident happen"
309,Links to the proof used to make those determinations
208,make sure the explainability prompts are no in quotes
157,I don't what other information I would like to obtain 
37,Details providing proof and fact checking with sources
213,IF it was from a trustworthy or untrustworthy source. 
189,Is the article an opinion piece or informational piece?
67,Sources cited and name of publication would be helpful.
113,I’d like to know more about how the AI determines things
410,stating what information was withdraw from what website.
374,More explanations showing why something is fake or true.
135,Other systems that have found the article true or false 
86,a little description of why it says its truthful or not.
125,The source that the AI-System gets its information from.
427,I would like to see sources posting similar information.
98,"How many sources there are,  and the source's name itself"
353,I would like citations. on where the articles coming from 
42,location of the source would be good information to have. 
108,"Article source type such as blog, online newspaper, etc..."
176,"Reliability of sources, references and date of publication"
53,reliability of the sources mentioned in the article itself
254,Check for spelling errors (hitch hiker - was written wrong)
411,Whom wrote the article and how many places it was published.
155,"More information on sources, overall truthfulness of sources"
372,I would like a list of primary sources used by the AI system
289,Who the source is and a possible link to the source website 
344,More source material of where the information was gathered. 
340,I'm not too sure the AI seems todo a good job of it already.
99,"Look differents websites, that really exist this information."
269,Citations and cross references to other articles or websites.
233,Maybe other articles that have been posted by the same source.
242,Would like to see what sources the AI gets its information from
44,The exact source of who wrote the article and who published it.
239,How many other times the same topic of article has been posted.
346,The actual source and not just whether it is trustworthy or not.
421,comparision between other articles about the same topic or news 
395,I would like to see the AI give more reasoning behind its rating
35,i think the information about the source is the most useful to me
235,The linked sources to these articles and their prior credibility.
247,Publish Date can help with determining if information is new/old.
402,"The details such  who were involved, and what outlet published it"
197,I feel like the AI did a very good job assessing the truthfulness.
40,More information about the source of the article would be helpful.
391,Links for further reading regarding the true facts about the story
60,what was the exact source...like the name of the news media outlet
341,I think it did a good job at pointing out why it was fake or truth
396,What was taken into account for the Truthfulness assessment score.
400,The reliability of the source and how the information was obtained.
368,"Direct citation of sources included in ""Explainability Feature"" text"
241,Who or where it was published from? What are the authors creditials?
28,"Original source of the article, then look at the articles citations."
347,other articles that may support the claim of the article in question
136,The publication or source that is deemed trustworthy or untrustworthy.
249,A link to info being used by the AI to check Explainability feature 2.
156,If there are other articles from different sources about the same story
130,I googled and researched websites I would find credible with the facts. 
349,How it determines which websites are false information and which are not.
392,links to other sources correcting/clarifying misinformation in an article
362,Knowledge about the author's expertise and/or links to studies referenced.
38,"what the source is, not just the trustworthiness according to the AI system"
114, A brief description of why the article is rated as it is would be helpful.
293,Maybe having two separate AI would be good to provide two different analysis
388,I would like to have the sources listed at the bottom of the page (passage).
350,I think the AI should provide the source upfront when giving its assessment.
195,More information about the sources used in the article would be beneficial. 
127,The identity of the writer and the specific website the article was found on.
370,"Writers of the article, publication sources, and where the article was written"
222,I would like to see less opinions and just facts on what the article is about.
384,the link to the original article or the source from which the original article 
260,The source of witch the information can be either proven to be right or wrong. 
149,How many trustworthy sources are publishing similar articles on specific events.
217,Scan for links to multiple sources of the same information to fact check against.
196,"Author of the article, maybe a search on people discussed in the article. Sources?"
94,"The location of the article's reader could also be used to evaluate, in some cases. "
69,A short detailed explanation explaining it's answer other than a trustworthy source. 
307,Information/statistics on why the news source is ranked truthworthy vs untrustworthy 
14,"Commentary on it from other sources, or stories from other sources that corroborate it"
321,The citations to be able to fact check what is being said by the article and AI alike 
377,Other sources and their take on a particular subject. Providing direct quotes and links.
365,I would like if references made in the article and summary could be linked to the source
154,"The information of the source was included, but knowing the actual source would be better"
424,Many articles were opinion based.  It would be a good call out from the A1 to note this.  
226,Cross checking with other trusted sources. Verifications that people and events are real.  
210,I would like to know who the source is and not just if they are trustworthy or untrustworthy
121,"The place the article was published would be helpful. (i.e.- Newspaper, Facebook, Blog, etc.)"
335,It would be nice to have a record of the sources being truthful or spreading misinformation. 
272,"Links to any sources for the article, classification if it is an opinion or fact-based article."
397,"I feel like it was good as it was, it just seemed like the fake percentage was wrong sometimes. "
184,"The name of the publication from where the article came from(consistently, not just once in a while)."
109,I think it would be helpful to have information about which political affiliation the news comes from.
232,"Other articles on the same topic, cited sources, bias meter, statistic checker, and comprehension review"
251,"The publisher of the source would be helpful, whether that is an author or a website the source came from"
300,The publication or source of the news story would be helpful at the initial stage to assess truthfullness.
150,"When this AI finds an untrustworthy source, it should name the source and explain why it cannot be trusted."
238,I would have liked to been able to see the news sources alongside the trustworthiness of these news sources.
124,"A specific name for the source quoted as opposed to a superficial term of ""trustworthy and or untrustworthy."""
200,"Aside from the information show, possibly recommending other articles reporting related news to the original."
59,"Who wrote the article, where it was published and if there are multiple other trustworthy sources in agreement."
403,if the content is from different unrelated sources I would personaly prefer if it shows like plajarizm detectors 
381,"Sources of the statistics in articles made more clear, maybe more transparency of the entity behind studies cited"
63,"Media Bias, whether its a primary or secondary source, and if it is a secondary source what is it's primary source"
229,Ai needs provide more sources of information and news found. backing up the facts to form a more believable story!
240,The news source the article is from. I typically can get a better gauge of its validity and truthfulness from that.
225,More information about how it identifies if the original source information is trustworthy or not may prove helpful.
191,Possibly more information about the author of the article to see if they have previously posted accurate information.
76,"More information about the source, date of creation of website/newspaper, author, author history previous articles written"
215,How the facts are being cherry picked.  Simply saying facts in the article are correct does not guarantee complete context 
338,Search engine results of the article title so I can view all the sources that the AI is using to draw its information from.
294,"Links to reliable/reputable sources about the topic, such as BBC News or NPR or the academic article the article references. "
387,"All available  details, from sources to possible narratives being pushed and the reasons why a certain narrative may be favored."
351,"To better assess the truthfulness of an article, it is helpful to gather additional information from reliable and diverse sources"
199,I felt as if the AI used the same formula for every article and if the controversy was popular then he automatically went for it. 
211,The actual name or identity of a source rather than it just being indicated whether or not it's a trusted or untrustworthy source 
190,"I particularly liked the info about the source, but I found that the text passages the AI selected were not always relevant to rating"
367,"If there are other sources online that have also analyzed the article against real or fake news, and if so, what were their findings? "
230,The actual source it came from so I can run that source through a media bias chart to get a better idea of its neutrality and reliability.
337,"Knowing the date published and writer of the article, as well as the sources used, would help me better assess the truthfulness of an article."
31,I don't think it is possible but I would like to see a highlighted area within the article that provided the AI with the push one way or the other. 
348,"There are a lot of different aspect of the articles it seemed the AI didn't even address, which were actually why I gave the truthfulness scores I did. "
50,"The place in which it was published, like what magazine or what newspaper or what website it was published on, not the source, but the actual publication."
62,"No additional information is needed in my opinion I was able to find my information elsewhere when needed to confirm the ""AI's"" assumption on the article "
46,"One article didn't have any information on the headline claim, such as ""X organization's policy is"", but then the written material was an ideological opinion."
203,Links to similar news articles so I could either gather more information or do my own research to decide whether or not I believe the news to be fake or true.
117,Providing multiple sources for the article would further verify the integrity of the article. Some sort of fact-checking information would also be a good addition.
237,"Author name and credentials. Also, an article can have heavy emotional wording but still be 100% true. From what I’ve seen, the AI doesn’t take that into consideration. "
394,"Actual facts that did happen, without it assuming the things that happened either happened or not because of something else without actually have concrete information about it."
104,Allow the AI System to identify the references mentioned and where they can be found to verify the credibility or non-credibility rating that it was used to determine the rating.
97,"What is the algorithm? What information does it find truthful? Dates, peoples names? Could it tell me if this is an opinion or editorial article? Is it from a random blog or a newspaper?"
371,I would like more on the truth or falsity of the articles' factual assertions. Several of the articles made factual assertions that were plainly false. The AI sometimes did not catch these. 
355,"It would be great if information was provided regarding the factors used in the truthfulness assessment, because I feel like it did not match with the natural language explanation all the time.  "
329,I would like to see more information for both sides of true and false. A lot of the AI explanations had either why the article was true or false and did not explain both the true and the false sides to the articles.
4,Who the source actually is and why they have been classified the way they have been.  I don't believe the reliability of the source because that can also be programmed into the AI based on the parameters set by the coders
358,"To evaluate the veracity of an article, other relevant information includes the source of the article, the date of publication, the presence of reliable references and citations, the author´s reputation and consistency with other trustwortly sources."
185,"More information on how AI arrives at its conclusion about the quality of the source. It states whether the source is good or bad, but doesn't tell us why, exactly. Is it a tabloid? An opinion blog? News commentary? Some of that info might be helpful. "
158,"I think assessing whether information is true rather than whether it could be true is the most important classification. I'd rather that the AI actually search the web to find if the information was true rather than rate it based on how ""emotional"" it was."
378,Callout for citations or lack thereof; distance from a primary source.  Some articles need additional fact checking or supporting figures.  Automated perusal of references an citation would be helpful if possible.  Links to reviews or responses would be useful.
261,"There are social psychologists who have compiled data about techniques of ""social influence"" and ""persuasion"". It would be extremely helpful to have the ai identify those techniques and to point them out. (loaded language is one of them, which this ai is already using)."
8,"One of the most important things in determining the truth of an article is looking at the emotional words being used. I think that the AI should track the emotional words that are not used within quotes, to further determine if the article is a thought piece, or a legitimate news article. "
159,"I might prefer a line by line/claim by claim assessment and rating rather than selecting limited text to base an overall truthfulness rating on. I felt like the text that was evaluated in some of the samples was not refelcting the most salient points and claims in the article that I might have chosen to ""fact check"" instead of what the AI chose."
163,
181,
267,
328,
