,ai-system-evaluation.additional-functionality
295,Highlighting potentially biased information 
139,ability to detect grammar and citing sources
285,Including the author and a bio of the author
14,A comment section on the AI's determination!
83,Secondary sources to back up original article
78,Proof of lies and links to proven true source
356,Knowing the truth and knowing what is a lie. 
405,"Source name, not just source trustworthiness "
290,Source information and trustworthiness rating.
214,A page of references and correlating websites.
138,"Cross-referencing, numbers of related citations"
301,Political bias and personal opinion eliminator.
423,Links to to where the information was obtained 
102,Knowing the original source of the information.
226,Verification with other trusted news sources.  
111,Highlighting specific false parts of  articles.
101,Knowing the basis ai uses to mke its evaluation 
33,Abitlity to see where the information comes from
344,To check where the AI received it's information. 
67,A link to view the article and not just the text.
387,Citing its sources for details about the articles.
255,stating if the article is an opinion piece or not.
140,provide the source or reason why its a bad source 
168,Weighing out emotional pull vs. Informational pull
333,sources for information that counters the fake new
213,To see if any part of the article is plagiarized. 
200,Great if it recommends alternative articles as well
419,I would like to see a list how it is fact checking.
224,Maybe more explanation on the truthfulness/ fatness 
107,Flagging websites that may contain false information
178,what about the pictures in the articles are they real
51,A longer explanation of how an article is unreliable.
360,would need more interaction with the tool to determine
21,The ability to suggest corrections to the AI judgement
394,to be impartial and not add any unnecessary information
110,results view or overall users percentage compared to AI
6,The AI system has the functionality I need for my work 
197,A spelling and grammar check would be a great addition.
125,The source that the information comes from and the URL.
364,i cannot think of any new ideas.  it's almost perfect. 
82,"link to similar articles, or link to disprove the article"
345,The ability to provide a link to the source article page.
276,I couldn't think of anything thats not being used already
190,somehow realizing that certain sources are not trustworthy
258,The name of the source where the news came from originally
220,At least one other source to corroborate the information. 
421,to link the same news or topic published by other sources 
121,Giving the source of the article and where it was published
227,Author/Publisher; collection of alterative truthful sources
126,Being able to give me a lot more info that I'm looking for.
148,Explanations of how phrases affected the truthfulness meter
70,Facts about this topic in general to prove its truthfulness
246,This AI needs training to be less biased against women/LGBT.
64,A link to the article or where it was found online to verify
71,Providing information on how the AI reached its conclusion. 
331,The overall comfort level in reliability at any given point.
281,It needs to be more accurate in detecting bias by the author.
156,giving feedback to the AI about whether it was right or wrong
274,to be able to turn on and off different levels of the keyword
426,A quick overview of the previous quality of articles on a site
40,Anything that provides more info on the sources would be good.
284,giving the articles a website or newspaper source for context.
377,Providing links to web pages with similar or the same content.
321,Showing citations of where the AI gathered the information from
211,Currently I'm unsure.  All seemed to be sufficient for my usage
13,Cross referencing the articles claim to the source it came from.
84,Maybe adding at least one more source to take into consideration
99,Need to add true information for the AI-System has better results
59,More information as to the decision making choices made by the AI.
36,If it provided the name of the source and not just its reliability
355,Adding information on if the article may be politically motivated 
337,"For my own uses, this AI has all the functionalities I would need."
357,I would love to see the raw control data the system is governed by.
208,an explanation for why the source was deemed reliable or unreliable
241,Availability to have source listed so information can be verified. 
90,To consider if other tools/sources also indicate the article is fake
142,More explanation on how the truthfulness of the article is determined
343,Looking at the sources of the article and knowing where it came from 
18,"Add source name or evidence such as charts, polls, and collected data"
392,"like i said, links to sources that correct/clarify the misinformation"
210,to know where this article was posted originally and who the source is
291,"Origin of the news article, including the publish date and the author."
414,An option to include more information from AI than what was presented.
42,the ability to see if a source comes from online or in physical form. 
72,Highlighting the parts that the AI finds the most blatantly incorrect.
359,A feature to quick search the headline to do your own research quickly.
31,highlight of the tipping sentence that pushed AI to one choose or other
19,"Link to the article, so you can see the site and authors of the articles"
123,"I think adding more sources, dates and specific details like statistics."
48,The publication platform in where the the article was published as proof.
8,Perhaps a feature that would allow further sources to be easily accessed. 
113,"Links to other articles & sources, or reliability of the article’s author "
53,the ability to visit the online locations of sources mention in the article
180,A link or information blurb that includes the author and their affiliation.
46,The ability to see the AI's reason why the article might be considered fake.
374,Im not sure. Either way I think this technology will be useful in the future. 
300,A human fact-check that footnotes the AI report and certifies it is accurate. 
338,A link to search engine results about the topic the AI is making a claim about.
24,Quick search button that runs the title of the article through a search engine.
35,i thought a few of the articles seemed true but the AI said it was likely false
231,to say where AL got the info from the link you can click on to see for yourself 
239,To see how many times the article has been posted by different reputable sources
160,The ability for users to provide a rating to the quality of the AI's assessments.
260,Again I think some type of link or something that gives you sources of the facts 
410,"links to the information source, comparing source information to the actual article "
77,Continuous variable to describe how good a source is (maybe a corroboration score?) 
203,I think functionally everything is great! I can't think of anything else I would add.
375,percentage of articles on a website that have previously been considered fake or real
164,Links to similar articles from around the same time period but from different sources
307,Information/statistics on why the news source is ranked truthworthy vs untrustworthy 
86,For it to give you feedback on the reasons the AI does not believe an item is factual.
351,"Source information , Author background , Multiple sources reporting similar or dissimilar "
79,AI confidence scrore based on reliability parameters such as the publisher and the source.
73,A good addition would be articles that challenge the main point to view other perspectives 
215,Adding context to any article or at least articles that don't meet a 80% truthful criteria.
306,Maybe comparing truthfulness rating of this article to other articles from the same source. 
366,A functionality to flag divisive or inflammatory news content regardless of its truthfulness
235,Being able to see other articles written by the same author and who they are affiliated with.
367,The option to inquire if other sources have submitted their own conclusion to the same topic.
402,"The AI was able to tell whether an article was truthful, but put in the wrong classification. "
240,"As I mentioned before, the source that puts out the news article, the journalist, cited sources"
97,More information about how it arrived at this conclusion. I don't understand it's rating system.
404,"see how other news outlets reported the topic, or provide sources backing up the AI's assessment"
272,base the assessment on alignment with other sources and links to sources mentioned in the article
335,It would be nice to have a feature that highlights and defines keywords for further comprehension. 
145,"If the AI was to take grammar into account when assessing truthfulness, that would be also helpful."
199,To make sure the AI would not be the final authority in deciding what is truthful and what is not. 
204,Checking the sources cited within the article (or checking if there are any genuine sources at all)
50,"The publication itself, ie, what newspaper website or magazine this article was published on or in."
37,Fact checker and the sources that explain the AI's decision of  if the news article is real or fake
127,"The main reason why the AI decided it was true or fake (hatespeech, no research, out of date, etc)."
217,A function which searches key words to fact check them automatically against the information given. 
233,I'm not entirely sure what else I would add to improve functionality and or efficiency at this time.
223,I think the evaluation of the author of an article itself should be a good functionality to be added.
269,The ability to highlight specific text in an article to have the AI-System analyze a sentence or phrase.
109,I think a good addition would be to add the ability for the AI-System to explain why it chose its score.
161,A good addition would be to have a system to show how the AI got the specific number on the meter rating
257,"To see the source the AI is looking at, is it a reputable site or is it one known for fake news/parody news"
4,"The information I listed above, source, date, originating agency, known affiliations, biases of agencies etc"
196,Being able to highlight parts that could teach the AI if the article is fake or not when reporting a mistake. 
225,Being able to dictate how much comprehensive information one would be provided by the AI may be agood addition.
130,I think maybe if there was a list of why the system does decide it is or is not factual would help the process. 
365,"I think hyperlinks to similar articles, links to sources, and feedback on the AI's classification could be useful"
158,"I want to make sure the AI is rating based on truth, not the stylistic choices or emotional tinge of the content."
358,The transparency of your data sources and the ability to correct errors or provide justification for your responses.
238,I found the system to be overall quite helpful with the only addition being more information about the news sources.
150,This AI needs to list the source for each article and explain why the source is marked trustworthy or untrustworthy.
319,View a link to the original article as well as sources of how the AI is classifying the information as true of fake.
251,Taking into account how truthful a source has been in the past to determine truthfulness of the article being analyzed
155,"Maybe cross referencing between sources, or an overall truthfulness rating on a source based on their overall articles"
232,"offering related articles from multiple sources, citation checker, and rating the reliability of the source site/ author"
69,Being able to detect which part of the article was most truthful and which part of the article was determined to be fake. 
81,Having links to the original source and links to other related articles that help check the truthfulness of the news article.
136,"Name the specific sources that the AI has deemed trustworthy or untrustworthy, in addition to the information already provided."
229,"dates, times , news/ article based off facts given. let the reader know that article was created using Ai based off  certain facts"
149,Being able to see how many similar stories by other sources are being done on the same topic as a way to fact check the information.
120,"A clear explanation on which the AI system bases its rating, as it varies regularly. (e.g.: high rating for an untrustworthy source)"
191,A system where other users that have used the same article with the AI can comment on how accurate they feel this information is given.
185,"Like I stated above, more information about the source. Perhaps who owns it, if it has affliate agencies, what genre of news is it, etc? "
388,The list or resources at the end of the passage or underlining the information is not relevant when showing how the AI rated the article.
329,A good addition for functionality would be to help find additional sources that would either support or tear down an articles truthfulness.
230,Additional sources to confirm or deny the AI's claim on truthfulness. Blindly trusting things is not something I am super comfortable with.
195,"I'm not sure if this can be done yet, but if the AI can generate/pull information from outside sources to prove the articles truthfullness. "
347,"A feature that scores sources on their reputation, suggested articles that support or collaberate the information of the article in question."
106,"Comparing the information/statistics to other news sources, grammar/spelling checks, formality of language, type of source (blog, website, etc.)"
94,"The functionality of knowing where the user is searching from could be used for relevant information, as well as the information it gives currently. "
100,"Perhaps if readers could also give their ratings in a separate score for others to consider, this could be helpful. I understand this can be abused. "
124,"As a final step prior to recalibrating how ""truthful"" a reader finds the article to be, another AI based rating on a similar article from said source."
427,ability to generate a new natural language explanation if you don't understand the first one that well. Not all of them were super easy to understand.
408,"Ability to query the AI. I would like to know why some of the truthfulness assessments didn't match the explanations, it seemed to be a glitch in the AI."
378,"Links to information referenced in the explanation text; links to articles covering the same or related material, especially those rated higher by the AI"
381,"I'm not sure I'd add another function, between the numerical rating, date, source, and explanation I think it covers a variety of ways to convey its findings"
174,A comparison to other available news sources about the subject as well as independent sources like for example government sources or something of that nature
237,Author name and credentials that possibly go into a system and receive their own rating based on previous number of articles that have been truthful/verified. 
104,Expanding the explanation area from the AI of why and to verify or list sources used to determine the rating it provided.. based on what information? Thank you.
267,The AI system is new and will be tested over a period of time and will improve over time and soon they will able to feel and think that addition will change the world.
159,"Line by line/claim by claim evaluations and ratings, and something to tell me why the AI agrees or disagrees with the evaluated text, and why the source is considered untrustworthy."
236,"A human double checking the AI's results. I think having AI solely making decisions about fake news using the criteria here is not enough, but it is a good starting point and reference for a human. "
154,"The addition of the source itself. The A.I. could possibly be programmed to judge the truthfulness of an article based on the ""truthfulness average"" of all articles it has seen from that one source."
63,Ability to see what criteria the AI-System used to create it's judgement for specific articles. The option to mark the headline's truthfulness or relevance separately from the contents of the article.
249,Broaden text passages used to access truthfulness. One sentence does not give an accurate picture of an entire article. So while that one sentence may be true what the article itself goes on to say about that cannot be accessed properly.
294,"Grammar and punctuation error detection. Reputable news sources have rare errors, but unreliable ones tend to have poor writing skills. It's not an absolutely guarantee of accuracy, but the ""fake news"" articles generally aren't well written. "
28,"More information on the article & author, some are hard to judge simply on the face of them. The story about the outside air conditioners for instance, I wouldn't have thought that was a real thing since air conditioners produce as much heat as they do cooling."
371,"Links to articles that either help corroborate, clarify, or dispute the article in question. Or a notification that such links do not exist; in other words, the so-called news reported in the article in question is not mentioned elsewhere. That is a big red flag. "
62,More suggesting reasons as to why or why not the information provided was true or not. Site sources etc... Bing - AI is great at this. Multiple response types would be good too. Example: Not just text or slider but pictures or source searches/links. Hope this helps! Thanks for the bonus and the opportunity! 
117,"A contextual understanding would allow the AI-system to further determine whether the information presented is relevant and up-to-date. In addition, something this AI-system clearly lacks is the ability to cross-reference multiple sources to verify the integrity of the articles. Having multiple sources would further enhance the capabilities of the AI-system."
131,"Under the assumption that the AI-System was given a database of sorts as reference, I believe a good addition would be a filter of sorts that scans for certain keywords that may be used in false, biased articles to slander or undermine the opposition of their stance. Doing so may overall help to reduce the number of times the AI-System innaccurately labels an article as ""truthful""."
261,"Identification of common methods of social persuasion and undue influence, identification of things like scapegoating, dehumanizing language, words and phrases meant to induce fear and anger. This ai picks up emotion-inducing words, but the ai specifically identifying fear and anger-inducing words and phrases, in addition to what this ai already picks up would be extremely helpful. Including a fact-checking capability would be great too."
98,"The reasoning behind it's decision of the ""Truthfulness"", as it may be made from either it being unable to sift through the common named article, or similar items but different topic all together. I believe it could become confused if this is the case. As it was with the global boyhood initiative. If you google it, the first thing that pops up is Gilette products sight. But directly underneath it was the similarly named article, that was in fact, true."
52,
181,
277,
326,
328,
340,
399,
