,ai-system-evaluation.criteria-to-judge-reliability
25,sources and information content
137,Believability and presentation 
10,the actual source it came from.
306,The sources and language used. 
391,"Source, tone, language, emotion."
390,If it is from an unbiased source
108,Any bias displayed in the article
185,Where the source gets its facts. 
376,Presence of inflammatory language
218,The numbers and common sense of it
299,Common sense abd cross check facts
22,I use the links from other sources
359,The credibility and their history.
301,Actual facts and unbiased opinion.
212,The credibility of the journalist.
313,"multiple sources, unbiased sources "
427,The sources of the facts mentioned.
105,"Who wrote it, where it was published"
258,The source from where it originated 
303,I use the source of the information.
311,When the source is a verified source
67,Publication article was printed by. 
372,"primary sources, grammar/word usage "
151,If the source is legote and reviews. 
226,"The way it is written, objectivity.  "
342,I judge by how the grammar is written
351,"Source credibility , Author expertise"
69,Less biased emotions in the article. 
217,Basic common sense most of the time. 
385,Grammar and spelling or truthfulness 
169,Emotional and un professional writing
190,"source, whether an authority is quoted"
66,objectivity and high authority sources
23,The source and context of the article.
409,"trustworthiness of source, credibility"
269,Clear information without any hyperbole
133,"the source, google and the core message."
289,The source and fact checking the article
79,The printer/publisher and the source(s).
162,"if it has a lot of opinions, I avoid it."
389,If the article sounds far fetched or not.
288,the source of who is informing the news. 
305,Reliability and potential bias of sources.
423,Sources used how information was provided 
282,The amount of emotional or extreme wording
321,"Source, then my ability to check the work "
119,Sentences that demonstrate an obvious bias.
227,The vocabulary and the information provided
266,If the article is objective or subjective. 
297,Source and cited sources within the article
410,Website credibility. Source of information.
188,If emotions are put in most likey it's fake
326,Fact checking source and the source itself.
112,All the sources used to get the information.
77,"Source, and corroboration with other sources"
24,Weather it is from a trustworthy site or not
0,find a matching article from reliable source
189,The facts stated and the source of the facts
42,if the information is understandable or not. 
142,The truthfulness and the facts of the article
107,"Name of the source it is coming from, grammar"
237,Who published it and easily checkable sources
74,Whether or not the information seems credible
72,How many other sources agree with the stance.
148,Is it consistent with other information I know
335,I usually look for the validity of the source.
234,reading it carefully and then also researching
51,I judge if they used multiple credible sources.
284,"The headline, if it treats an opinion as a fact"
415,"reliability, author credibility, publishing date"
49,the source and if it sounds like opinion or fact
111,"source of article, website the article comes from"
401,Number of other sources reporting the same story.
374,"Notoriety, academics, cross-references and sources"
12,Publisher information and grammatical correctness.
65,Mostly it's obvious by how extreme the claims are.
114,The source and whether I can find similar articles
115,the source it comes from and the content It gives.
194,"Factual evidence, and no emotion or moral arguments"
228,key words for wow factor usually make me suspicious
203,"Spelling and grammar, quotes, and familiar sources."
154,Where it came from and the use of emotional language
38,"the source, publication date, research to back it up"
334,"Comprehensive, transparent on sources, objectivity. "
223,Verified trusted source that has a great reputation.
90,If speech is obviously biased; source of information 
424,"Opinion vs fact, sources, knowledge of current events"
319,"Source, author, and language/content of news/article."
267,The source the news come from and factual information
197,"Spelling and grammar, and the content of the article."
339,"Context, stats, related content, references, sources."
396,Linked sources and how much of the article is opinion.
271,"Information source, how widely distributed and by whom"
45,"respected author and publisher, up to date information"
275,If it is Trusted source or entertainment/opinion based
280,source and if I can find the same story on other sites
64,Where the source is coming from and how current it is.
183,"unbiased terms, no emotional content, credible sources"
295,The source and presence of obviously biased viewpoints 
384,"the source if its a reputable source like CBS, ABC, or "
403,reputablity and give the information time to belive it 
207,Whether or not they are speaking with facts or emotions
407,The tone used when elaborating on and explaining events.
247,"Source, misspelled words, if it uses too many buzzwords."
89,Whether or not the article has been fact checked or not.
337,Which website or social media account posted the article
13,Any non-bias format that involves any outside influence. 
161,I usually look at the author and their previous writings.
176,"Reliability of sources, references and date of publication"
87,"I judge it by the way it sounds, if is is truthful or not."
257,"Who published it, their possible bias/leaning politically "
128,I look on various websites to see if it is found elsewhere
94,"Keywords, date written, source of author, and context clues."
40,The trustworthiness of the website that the news comes from.
198,whether or not other there is the same news on other sources
393,"THE SOURCE RELIABILITY TO DELIVER GOOD, TRUTHFUL INFORMATION"
160,The article must remain neutral when presenting information.
205,"The news source and sources cited within the article, if any"
414,How much I trust the site in which the aritcle was published.
73,"Sources used, author bias, whether it is fact or opinion based"
109,I look at the grammar of the articles and who is publishing it.
307,"Reputation of course, same information across multiple sources "
366,"Many agreeing stories, statistical probability, scientific info"
63,Biased language that is very direct at a specific person or idea
168,Chech to see if the same information shows up in multiple places
367,My preferred source to go to when researching a topic is Google.
395,the site it comes from and if you can find supporting documents 
120,Information about the sorce and the language used in the article
404,"reputable source, if it is being reported by other people as well"
123,"I use my common sense, if it sounds too outlandish it usually is. "
76,Usually based in where the source is and if it's trustworthy or not
281,"How it was presented, where it was published and who the author is."
322,Factual findings and the source of where the information comes from 
53,whether the information in it came from a variety of trusted sources
149,The credibility and reputation of the publisher of the news/article.
397,Whether it comes from a reputable source and if it seems objective. 
144,The source the article came from and I look for any outlandish ideas.
245,Accuracy of the information paired with the intent of the publisher. 
315,"I kind of rely on how the article flows, some times things sound fake"
283,"I Use Personal judgement. If something sounds off, I will research it."
309,"The ability to provide examples, quotes, and references in the article"
78,Whether or not I've heard similar news previously and it is believable
125,"I use Google, Fact Check, and research. I don't rely on just one source."
138,"What is the source, is it consistent with prior knowledge, is it logical."
346,I often focus on the source and will look up information if it seems off.
343,Looking for personal beliefs that may lead to exaggerating or misleading.
84,I usually check if the source is trustworthy by doing a little research. 
210,The source of the article and the general terms that make it true or false
48,"information, and the validity of the content, the date and current events."
369,where it comes from and are there other article that state the same thing.
241,"Creditials of author, publishing source, date and where it was published. "
126,I have to realize if It's been on the news or not or really in a news paper
19,"The website it's on,  the wording of it; is it fact based or opinion based?"
356,Knowing the information before hand and finding out what is misinformation. 
155,"Source, duplication - meaning if multiple sources are telling a similar story"
136,The source the news is coming from and sources cited within the news article.
121,I usually fact-check using other sources that have been reputable in the past.
400,I usually look at the source and I see if other reliable sources mentioned it.
97,Where it's from (reputable source). If it has hints of opinion or just facts. 
35,if it has believable sources that it uses for its information and not opinions
14,Comparing it on other websites and listening to what other people have to say.
375,If it sounds consistent with other current events and if it is even plausible. 
158,If it coheres with other information I know and it comes from a reliable source.
345,I pay attention to its title and what claims it makes in the main text passages.
130,I typically use how many websites agree and mark the same facts of the articles. 
222,"Common sense, if the articles seem outlandish or the informatin presented adds up"
235,"Amount of emotional content, political biases, and prior credibility assessments."
195,I tend to look at the sources used and I look for any emotional language/bias used. 
291,"The source, the writing style and language used, the original date it was published."
254,"Check sources, spelling and grammar and how emotionally manipulative an article is. "
199,I read carefully and I try to make myself pretty aware of the news around the world. 
278,"Believability, does it seem credible, source, if it's biased and who's publishing it."
238,Emotional language and the perceived purpose such as being informative or persuasive.
229,"News sources, and verified facts! anyone can write a story but are the facts correct. "
286,"the source, try to determine the slant of the article, is there an agenda being touted"
242,The number of reputable news sources reporting the info. Sources that can be verified 
191,Who is writing the article and how they prevent personal adding their own personal bias
362,"Who wrote it and who published it, sometimes when it was published, based on the topic. "
256,"Where it is from, who wrote it, and does it seem to be trying to make me angry or upset."
156,where it is published and if there are other sources available with the same information
349,"How extreme language they use, and the terms they use they describe their opponents with."
265,I check to see if there are a bunch of opinions and conjecture. I check for known facts. 
164,"cross-referencing with reliable sources, identifying extreme or inflammatory language used"
365,"I judge on sources for data, direct quotes, and general consensus among experts on the topic"
331,Whether the website is a reliable source. Also checking sources and doing some fact-checking.
82,"where it's published, if it lists sources, if I can find similar information in other sources."
263,"Is the article trying to sway me one way or the other?  If so, then the reliability decreases."
232,"reliable sources, cited research, fact checking, limited use of exclamatory/ hyperbolic phrases"
340," Credibility of the author, the reputation of the publication and the quality of sources cited."
419,"First I look at the source, then I double check facts against other sources if I am skeptical. "
413,"The source itself, is there corroboration from others, past history of source, verifiable facts "
31,"Wording, opinions don't belong in news articles. If many sites state same give it some thought. "
240,"The host of the news article itself(ie The Washington Post etc.) , if they site their sources etc."
59,That the source is historically reliable and that numerous other reliable sources are in agreement.
166,"one big thing that stands out to me is there are alot of ""feeling"" words, words to invoke emotion. "
61,"when and where it was first reported, who is picking it up, and the 'outlandish' scale of the article"
113,"Believability, how well it is written, the source, and comparing other articles covering the same topic"
102,"Credibility, reputation, and authoritativeness of the source based on previous fact-checked information. "
55,The language used.  If it is opinion based.  Or if it uses strong language used to trigger strong emotion.
172,"If it comes from a source I trust, if the language is to the point and not sensational, if sources are cited"
50,"The publication reliability itself, and then of course the source of the information. Combination of the two."
244,"if the call to action is reasonable, cited sources, and stylistic evidence that it was written by a journalist"
204,"Using prior knowledge of the source to gauge if it tends to be biased, as well as cross-checking other sources"
387,"Sources, narrative  being pushed and who may benefit from it, and possible political or economic agendas at play."
36,"Is it clearly biased/an opinion piece, where does it come from, can I find other information online that is similar"
62,I judge the sources from known reliable sources and I also search the info in other places to compare the details. 
249,Its source and cross checking that there are multiple reliable sources of varying background  that have reported it.
196,"What sources they have, where the information came from, If they are getting anything from it, spelling and grammar "
104,"Verbiage, bias/unbiased attitude reflected, informative vs opinionated, credible sources (rather than vague sources)."
131,Spelling/grammar; presence/absence of anti-[Blank] language; logical fallacies; particularly strong opinionated statements
353,"I use the common sensicality of it. If it makes sense ill usually think its true, but sometimes articles sound so made up. "
214,"I try to take the emotion out, rely on context clues and verify facts. I also like to stay up to date with current events. "
174,A lot of the same things that the AI did but also by comparing it to known truthful sources and researching individual facts
46,"I check for political bias in the presentation of the material, informal speech, pure opinion vs. factual presentation, etc."
152,"publisher or website name, citations, date posted, google search to fact check, how much information is provided, social media"
338,I look for generalized claims that sound exaggerated. I also try to find flwas in the logic of any conclusions that are drawn.
211,"The credibility of the source and whether or not it's tied to a certain organization, or bias for a movement or political agenda "
81,I look at whether the news is from a reliable source and whether the content is credible or matches what is happening at the time.
272,"research of other information to see if it is aligned with this information, source of the information, and sometimes writing style"
150,I check the publisher to see if they are trustworthy. I also do outside research to see if others agree with the article's findings.
124,"The publishing source; if it's from a tabloid or blog, most individuals should take the extra step to authenticate said information. "
215,A track record of reliability.  If I am not familiar with a news source I will only check it if the information seems out of kilter. 
4,"dates, my own knowledge of the events, multiple reportings, reputation of the reporter, known biases of the reporting agent or agency "
233,"I assign a probability to every ""fact"" that I read, that way I can gauge whether or not I think that something is likely based on reality."
344,I look for non-biased factual information that doesn't lean into a specific party or agenda. I like to be well rounded with my information. 
28,If it has a clickbait headline I usually ignore it. If I do read it I want to know more about the author and how respected they are (or not).
127,"How much research is backing up the article, if they spoke to the people involved directly, if care was given to the presentation of the article."
251,"I check the source, if a source has been shown to be unreliable time and time again, I don't trust is as much. I also look for bias in the writing"
364,I rely heavily upon grammar and style of an article upon initially glancing at an article.  source is very important when deciding what to believe.
225,"I evaluate who published the article. A blog, news source, or popular scientific journal all have varying degrees of authority and trustworthiness."
355,I typically review the source of the article and assess if the language used in the article is more informative or tends toward eliciting a reaction. 
117,"Some criteria would be accuracy, credibility of the source, objectivity/tone of the article, relevance, timeliness, and the reputation of the publisher. "
350,"I prefer articles that give facts and allow me to form my own opinions. Articles that tell me how I should feel about a subject, I generally rate as not truthful."
37,If they are consistent usually and sometimes the tone used of the news/article. The details that seem like are unlikely true help me decide if the article is reliable 
184,"The name of the publication and its overall reputation as well as whether the article is well-written(no grammar mistakes, which were present in a couple of the articles)."
236,Does the article make logical sense? What kind of emotional language is used? What source am I getting the news/article from? Which friend shared or liked the news/article?
180,"Source, author position and relation to the subject matter, and if the article is neutral and not trying to sway the reader to choose a political view to the left or right."
200,"Source, publishing date (depends on my research topic), language used by journalist (Less like a gossip page, cites sources and quotes, more like an interview or research paper"
100,I use the date and source reliability to judge if an article is reliable. I also notice how many other reputable sources report the same information and what their sources are.
98,"The way it will describe ""victims"", or any politician. If it is vague, or seems very absurd, it is very easy to take the hint to just go look it up and double check on other articles/sources"
294,"The source of the article (i.e. publisher), the neutrality of the language, the number of grammar/punctuation errors, the persons/institutions interviewed, the controversy level of the topic"
106,"I decide based on where the article is from (based on reputation and personal experience), whether or not I can find other reputable sources will similar claims, grammar checks, and writing style."
300,"Supporting/contradicting data from a different, uncited source. The reputation of the originating and supporting/cited source(s). Multiple supporting/contradicting reports with the same or similar data."
408,"Within this test, I relied on my knowledge of current events. All the fake news examples were easy to spot because they obviously inserted political agendas into what should have been neutral reporting. "
230,If upon first glance it feels skewed or neutral to me. Then testing the source on a media bias chart. Then seeing if there are other articles that support or contradict the claims in the original article.
358,"The criteria I Usually use to judge the reliability of a news or article are: trustworthy source, evidence-based, impartiality, consistency with other reliable sources and transparency in presenting the facts."
381,"Extreme or inflammatory language and phrasing, if an article is simply presenting facts or stating opinions, if an article is trying to rile up the readers' emotions to achieve an emotional response rather than a logical one"
388,The first thing I look is the source of the article and then I go ahead and compare it to video (if available) shown in the news or Youtube. I also check who the writer/journalist was and the tone in which the article was written. 
290,"Whether the source is well known, and if so trusted. If it is a site I am not familiar with, I check for identifying features like a phone numbers, address, or About section. I also use various websites that check the validity of the site."
329,the main criteria I tend to use are looking at the source(s) for an article and using my knowledge of the world around me. I also look for bold statements that are meant to cause controversy or is the article using statements that sound neutral and informative. 
159,"Poor grammar, odd capitalization choices, all-caps wrds within the headline, etc. are all red flags to the quality of ""journalism"" being offered. If the article alse seems to clearly favor one side of viewpoint over the other, I don't assume it's fake news, but I assume it's incomplete news."
261,"Most important is the source of information, as well as which journalist has investigated and reported. Then identifying loaded language. I also keep abreast of current debunked conspiracy theories. I'm familiar with the techniques of social influence and persuasion as well as joseph Goebbels' Principles of Propaganda."
378,"On first glance, style, especially the presence of inflammatory statements or hyperbole; also presence of an author's name and publication date.  Second, reputation of the source or publisher.  Third and possible most importantly, use of cited figures with a reference list at the end.  Fourth, some indication of understanding and interpretation of referenced information."
371,"If I know something about the subject, if an obvious point is disregarded or made light of, then I get suspicious. Second, if an article does not quote from both liberals and conservatives, I feel an agenda is being pushed. Lastly, I fact check an article's assertions  with a Google search. This last method is the best way to assess an article's good faith/truthfulness.  "
328,
